EF,0.048,0.009,0.044,0.009,0.325,0.245,0.165,0.152,0.303,0.186,0.033,0.047,0.028,0.036,0.118,0.025,0.036,0.054,0.082,0.086,0.041,0.057,0.062,0.017,3
EF,0.027,0.015,0.016,0.03,0.202,0.245,0.15,0.123,0.177,0.284,0.03,0.066,0.063,0.025,0.102,0.054,0.016,0.091,0.084,0.065,0.025,0.065,0.045,0.057,3
EF,0.051,0.041,0.044,0.04,0.247,0.227,0.108,0.148,0.225,0.215,0.047,0.014,0.028,0.029,0.058,0.062,0.055,0.078,0.033,0.096,0.005,0.021,0.051,0.014,3
BE,0.034,0.062,0.007,0.019,0.239,0.234,0.045,0.032,0.264,0.23,0.028,0.022,0.053,0.034,0.197,0.15,0.163,0.16,0.154,0.13,0.05,0.054,0.042,0.059,5
EF,0.012,0.042,0.028,0.01,0.214,0.213,0.108,0.136,0.193,0.264,0.02,0.048,0.058,0.042,0.076,0.061,0.005,0.062,0.073,0.082,0.044,0.026,0.049,0.027,3
BE,0.043,0.021,0.015,0.064,0.2,0.263,0.022,0.046,0.236,0.278,0.025,0.01,0.008,0.057,0.2,0.143,0.114,0.142,0.136,0.133,0.065,0.045,0.027,0.053,5
EF,0.119,0.147,0.02,0.052,0.14,0.136,0.055,0.038,0.137,0.094,0.038,0.023,0.006,0.018,0.038,0.063,0.05,0.058,0.066,0.081,0.055,0.035,0.005,0.022,3
BE,0.011,0.056,0.036,0.034,0.25,0.301,0.043,0.004,0.251,0.232,0.026,0.015,0.018,0.044,0.189,0.123,0.103,0.171,0.131,0.135,0.046,0.042,0.029,0.024,5
BE,0.033,0.019,0.164,0.152,0.236,0.274,0.035,0.002,0.11,0.146,0.033,0.029,0.054,0.023,0.041,0.044,0.057,0.041,0.062,0.053,0.023,0.006,0.005,0.028,5
BE,0.018,0.027,0.032,0.042,0.243,0.303,0.041,0.053,0.226,0.246,0.061,0.006,0.034,0.007,0.161,0.109,0.109,0.166,0.209,0.174,0.05,0.062,0.039,0.054,5
